ISSN;Periodico/Revista
0103-6963;REVISTA BRASILEIRA DE LITERATURA COMPARADA
0103-7250;SIGNOTICA (UFG)
0875-019X;METAMORFOSES  REVISTA DA C?TEDRA JORGE DE SENA DA FACULDADE DE LETRAS DA UFRJ
1415-7950;ASAS DA PALAVRA (UNAMA)
1516-1536;GRAPHOS (JO?O PESSOA)
1615-5297;UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (INTERNET)
1678-2054;TERRA ROXA E OUTRAS TERRAS
1679-5520;SCRIPTA UNIANDRADE
1806-9142;CADERNO SEMINAL DIGITAL (RIO DE JANEIRO)
1808-5385;TEXTO PO?TICO
1809-3507;PALIMPSESTO
1873-7951;INTERACTING WITH COMPUTERS
1982-2553;GAL?XIA (SAO PAULO  ONLINE)
1983-3652;TEXTO LIVRE
1983-4683;ACTA SCIENTIARUM (UEM)
1984-4018;RAIDO (ONLINE)
1984-8412;F?RUM LINGU?STICO
2175-3180;REVISTA DESASSOSSEGO
2176-1078;ESTUDOS DE RELIGI?O
2176-4182;F?LIO - REVISTA DE LETRAS
2176-5782;TABULEIRO DE LETRAS
2179-1309;CONTEXTO & EDUCACAO
2179-2194;FRAGMENTUM (ON LINE)
2179-6793;REVISTA ELETRONICA ARATICUM
2182-8830;MATLIT: MATERIALIDADES DA LITERATURA
2238-3824;CALIGRAMA: REVISTA DE ESTUDOS ROM?NICOS
2238-7587;REVISTA DE ESTUDOS DE LITERATURA, CULTURA E ALTERIDADE - IGARAP?
2316-3933;REVISTA ECOS
2316-5758;REMATE DE MALES (ONLINE)
2316-8838;REVISTA SOLETRAS
2319-0825;REVISTA DIALOGOS (REVDIA)
2358-3428;SCRIPTA
2358-8322;HUMANIDADES & INOVA??O
2358-9566;CONTEXTO - REVISTA DO PROGRAMA DE P?S-GRADUA??O EM LETRAS
2448-0819;PORTO DAS LETRAS
2448-2935;POLICROMIAS - REVISTA DE ESTUDOS DO DISCURSO, IMAGEM E SOM
2525-3441;AFLUENTE
2526-1789;DATJOURNAL DESIGN ART AND TECHNOLOGY
2596-2477;MANUSCR?TICA
