Ano;Nome;Titulacao;DOI;Titulo;Tipo;Qualis;Abrangencia;Nome Evento
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.1590/1982-2553202148209;De olho no minotauro: a po?tica do labirinto em tessituras eletr?nicas de Andrei Thomaz;Periodico;A3;;"1982-2553;GAL?XIA (SAO PAULO  ONLINE)"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.21527/2179-1309.2021.114.10-30;REVIS?O SISTEM?TICA DE ESTUDOS SOBRE COMPUTA??O DESPLUGADA NA EDUCA??O B?SICA E SUPERIOR DE 2014 A 2020: TEND?NCIAS NO CAMPO;Periodico;A2;;"2179-1309;CONTEXTO & EDUCACAO"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);;REDE DE LETRAS EM SOLEIL SONNE, DE PIERRE GARNIER;Periodico;B1;;"2238-7587;REVISTA DE ESTUDOS DE LITERATURA, CULTURA E ALTERIDADE - IGARAP?"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.25094/rtp.2021n33a797;Poesia visual: subs?dios te?rico-metodol?gicos para uma leitura da serialidade;Periodico;B1;;"1808-5385;TEXTO PO?TICO"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.5902/2179219461944;RECOLHER, ESCOLHER, ACOLHER EM UM ARQUIVO LITER?RIO DIGITAL: O PROJETO DA ELECTRONIC LITERATURE COLLECTION COMO COLET?NEA E COLE??O;Periodico;A4;;"2179-2194;FRAGMENTUM (ON LINE)"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);;UMA LEITURA DO TEMPO EM A VISIT FROM THE GOON SQUAD;Periodico;A3;;"2448-0819;PORTO DAS LETRAS"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.12957/palimpsesto.2021.58709;A AVE, de Wlademir Dias-Pino, e -Homenaje a Wlademir Dias-Pino-, de Clemente Pad?n: rela??es ciberpo?ticas;Periodico;B1;;"1809-3507;PALIMPSESTO"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.17851/2238-3824.26.2.199-216;Literatura e tecnologia: Wlademir Dias-Pino e o poema como m?quina anal?gica / Literature and Technology: Wlademir Dias-Pino and the Poem as an Analogical Machine;Periodico;JCR:<0.1;;"2238-3824;CALIGRAMA: REVISTA DE ESTUDOS ROM?NICOS"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.35520/metamorfoses.2021.v17n2a47302;Cadernos de Lanzarote: a escrita dos di?rios como aprendizado do ex?lio;Periodico;B2;;"0875-019X;METAMORFOSES  REVISTA DA C?TEDRA JORGE DE SENA DA FACULDADE DE LETRAS DA UFRJ"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.1590/2596-304x20212344npvp;Poesia e transpo?tica nas performances da eu l?rica dos poemas de Joy Ladin;Periodico;A1;;"0103-6963;REVISTA BRASILEIRA DE LITERATURA COMPARADA"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.35699/1983-3652.2022.35555;As imagens do duplo e da m?o na obra digital hipertextual 88 Constellations for Wittgenstein (to Be Played with the Left Hand), de David Clark;Periodico;JCR:0.8;;"1983-3652;TEXTO LIVRE"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.11606/issn.2596-2477.i44p41-55;Da avalanche l?rica em redes sociais: remedia??es po?ticas em Snow, de Shelley Jackson;Periodico;B2;;"2596-2477;MANUSCR?TICA"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);;LYGIA FAGUNDES TELLES E O FEMININO EM ?O JARDIM SELVAGEM?;Periodico;A4;;"1415-7950;ASAS DA PALAVRA (UNAMA)"
2021;Vinicius Carvalho Pereira;Doutorado (PQ);10.30612/raido.v15i38.14556;O corpo po?tico em slams surdos: an?lise de uma performance de Gabriela Grigolom da Silva;Periodico;A4;;"1984-4018;RAIDO (ONLINE)"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);;EST?TICA DO ACIDENTE: RELA??O ENTRE ARTE LITER?RIA, COMBINAT?RIA E ACASO NO PROJETO LIBRARY OF BABEL, DE JONATHAN BASILE;Periodico;A3;;"2448-2935;POLICROMIAS - REVISTA DE ESTUDOS DO DISCURSO, IMAGEM E SOM"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.25094/rtp.2022n36a856;O Tempo E A Espera, De Pedro Casald?liga (2022): Deus, Homem, Natureza E Poesia No Norte Araguaia (Mt-Brasil);Periodico;B1;;"1808-5385;TEXTO PO?TICO"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.1590/2596-304x20222446vcp;A poesia digital em arquivos online latinoamericanos: converg?ncias e diverg?ncias;Periodico;A1;;"0103-6963;REVISTA BRASILEIRA DE LITERATURA COMPARADA"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);;Escrita e persona nos 'Cadernos de Lanzarote';Periodico;A4;;"2175-3180;REVISTA DESASSOSSEGO"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.5752/P.2358-3428.2022v25n56p299-312;A influ?ncia da tecnologia e da m?sica na constru??o narrativa e nos processos de leitura de A Visit From the Goon Squad, de Jennifer Egan;Periodico;A3;;"2358-3428;SCRIPTA"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.55391/2674-6085.2022.2570;NOTAS SOBRE APPBOOKS DA STORYMAX: UM ESTUDO DE CASO NA LITERATURA DIGITAL INFANTIL BRASILEIRA;Periodico;A3;;"1679-5520;SCRIPTA UNIANDRADE"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);10.47456/contexto.v1i42.35978;Poesia, tecnologia e cat?strofe: notas sobre o conto ?O versificador?, de Primo Levi;Periodico;JCR:<0.1;;"2358-9566;CONTEXTO - REVISTA DO PROGRAMA DE P?S-GRADUA??O EM LETRAS"
2023;Vinicius Carvalho Pereira;Doutorado (PQ);10.25094/rtp.2023n38a928;Bots geradores de poesia no Twitter: tradi??o e inova??o;Periodico;B1;;"1808-5385;TEXTO PO?TICO"
2022;Vinicius Carvalho Pereira;Doutorado (PQ);;CADERNOS DE LANZAROTE: O DI?RIO COMO ?ESPELHO DE CONFIAN?A?;Periodico;B3;;"2179-6793;REVISTA ELETRONICA ARATICUM"
2023;Vinicius Carvalho Pereira;Doutorado (PQ);10.1093/iwc/iwad003;Dead Users? Profiles on Facebook: Limited Interaction Beyond Human Existence;Periodico;JCR:1.0;;"1873-7951;INTERACTING WITH COMPUTERS"
2023;Vinicius Carvalho Pereira;Doutorado (PQ);10.5216/sig.v35.73165;Poesia digital brasileira em Flash: da plataforma t?cnica aos poemas hiperm?dia;Periodico;B1;;"0103-7250;SIGNOTICA (UFG)"
2023;Vinicius Carvalho Pereira;Doutorado (PQ);;Deambula??es ? margem: imagens do eu-l?rico errante em ?Vis?o 1961?, de Roberto Piva;Periodico;A3;;"1516-1536;GRAPHOS (JO?O PESSOA)"
2023;Vinicius Carvalho Pereira;Doutorado (PQ);10.5433/1678-2054.2023vol43n1p39;tuiteratura escrita por meios de fios: notas sobre o g?nero tuiteromance;Periodico;A1;;"1678-2054;TERRA ROXA E OUTRAS TERRAS"
